ID,total_cost
tour_1,27766085.309210528
tour_100,8332709.174722221
tour_1001,6166457.820021978
tour_1006,1668947.8333333333
tour_1009,18599148.802764706
tour_1010,4549709.229890296
tour_1014,14525130.082368419
tour_1015,4549709.229890296
tour_1019,1487440.8887905604
tour_1020,4549709.229890296
tour_1023,18560367.137888197
tour_1025,18599148.802764706
tour_1031,31563430.077118646
tour_1037,4549709.229890296
tour_1044,8332709.174722221
tour_1053,6166457.820021978
tour_1056,4549709.229890296
tour_106,18599148.802764706
tour_1064,6166457.820021978
tour_1069,18599148.802764706
tour_1077,3661279.1517393487
tour_1084,1668947.8333333333
tour_1087,18478014.625971563
tour_1089,1487440.8887905604
tour_1091,3661279.1517393487
tour_1093,4549709.229890296
tour_1094,4549709.229890296
tour_110,1487440.8887905604
tour_1100,3591032.788075314
tour_1101,31563430.077118646
tour_1105,21828041.232098766
tour_1106,8332709.174722221
tour_111,4549709.229890296
tour_1112,30996388.25677083
tour_1113,29068136.159350645
tour_1114,1487440.8887905604
tour_1117,4549709.229890296
tour_1119,4549709.229890296
tour_1127,6166457.820021978
tour_1140,4549709.229890296
tour_1141,3661279.1517393487
tour_1143,4549709.229890296
tour_1145,3661279.1517393487
tour_1148,3661279.1517393487
tour_1153,4549709.229890296
tour_1156,4549709.229890296
tour_1157,4549709.229890296
tour_1160,1622368.271842105
tour_1169,18478014.625971563
tour_1170,6166457.820021978
tour_1177,1487440.8887905604
tour_1180,4549709.229890296
tour_1185,14019599.000646653
tour_1187,3661279.1517393487
tour_1189,18478014.625971563
tour_119,27766085.309210528
tour_1199,3661279.1517393487
tour_120,1487440.8887905604
tour_1204,6305877.89372
tour_1206,4549709.229890296
tour_1218,1622368.271842105
tour_1223,3661279.1517393487
tour_1225,4549709.229890296
tour_1227,4549709.229890296
tour_1228,1487440.8887905604
tour_1229,3661279.1517393487
tour_1232,18478014.625971563
tour_1236,18478014.625971563
tour_1237,4549709.229890296
tour_124,4549709.229890296
tour_1240,3661279.1517393487
tour_1243,1487440.8887905604
tour_125,4078014.202027027
tour_1250,18478014.625971563
tour_1251,4549709.229890296
tour_1255,14019599.000646653
tour_1257,4549709.229890296
tour_1258,13855776.651034482
tour_1264,1487440.8887905604
tour_1266,1668947.8333333333
tour_1268,18599148.802764706
tour_1269,1668947.8333333333
tour_127,4549709.229890296
tour_1270,1487440.8887905604
tour_1272,1487440.8887905604
tour_1277,6166457.820021978
tour_1280,4549709.229890296
tour_1283,14525130.082368419
tour_1284,18599148.802764706
tour_1285,4549709.229890296
tour_1288,6166457.820021978
tour_1292,4549709.229890296
tour_1293,4549709.229890296
tour_1297,4549709.229890296
tour_1299,6166457.820021978
tour_130,4549709.229890296
tour_1300,4078014.202027027
tour_1301,13855776.651034482
tour_1307,3591032.788075314
tour_131,1487440.8887905604
tour_1317,18478014.625971563
tour_1318,4549709.229890296
tour_1320,4549709.229890296
tour_1322,3661279.1517393487
tour_1323,4549709.229890296
tour_1341,1487440.8887905604
tour_1346,3661279.1517393487
tour_1348,3661279.1517393487
tour_1352,6294200.796982759
tour_1354,18599148.802764706
tour_1355,6294200.796982759
tour_1365,1487440.8887905604
tour_1366,29068136.159350645
tour_1374,6166457.820021978
tour_1378,4549709.229890296
tour_1389,4549709.229890296
tour_1392,3661279.1517393487
tour_1396,3661279.1517393487
tour_1398,14019599.000646653
tour_140,1487440.8887905604
tour_1403,1668947.8333333333
tour_1407,13855776.651034482
tour_1416,1668947.8333333333
tour_1421,18560367.137888197
tour_1424,14019599.000646653
tour_1428,30996388.25677083
tour_1433,1487440.8887905604
tour_1434,6166457.820021978
tour_1435,1668947.8333333333
tour_1437,1668947.8333333333
tour_1438,3661279.1517393487
tour_1441,1487440.8887905604
tour_1442,4549709.229890296
tour_1449,1668947.8333333333
tour_1450,18599148.802764706
tour_1451,1668947.8333333333
tour_1459,14019599.000646653
tour_1463,1487440.8887905604
tour_1468,6166457.820021978
tour_1470,1487440.8887905604
tour_1477,4549709.229890296
tour_1479,31563430.077118646
tour_1484,4549709.229890296
tour_1488,18478014.625971563
tour_1497,18599148.802764706
tour_1499,21828041.232098766
tour_15,4549709.229890296
tour_1502,4549709.229890296
tour_1503,14019599.000646653
tour_1515,18560367.137888197
tour_1517,14525130.082368419
tour_1521,14019599.000646653
tour_1522,1487440.8887905604
tour_1523,29068136.159350645
tour_1527,4549709.229890296
tour_153,3661279.1517393487
tour_1532,21828041.232098766
tour_1535,4549709.229890296
tour_1539,21828041.232098766
tour_154,8332709.174722221
tour_1540,4549709.229890296
tour_1544,4549709.229890296
tour_1546,4078014.202027027
tour_1549,3661279.1517393487
tour_1552,29068136.159350645
tour_1553,14019599.000646653
tour_1554,4549709.229890296
tour_1557,3661279.1517393487
tour_1566,8332709.174722221
tour_1568,1487440.8887905604
tour_1569,14019599.000646653
tour_158,1668947.8333333333
tour_1583,13855776.651034482
tour_1584,18478014.625971563
tour_1588,4549709.229890296
tour_159,14525130.082368419
tour_1594,4549709.229890296
tour_1595,18478014.625971563
tour_160,4549709.229890296
tour_1603,18478014.625971563
tour_1608,3661279.1517393487
tour_161,13855776.651034482
tour_1611,13855776.651034482
tour_1615,6166457.820021978
tour_1622,6166457.820021978
tour_1624,29068136.159350645
tour_1625,14019599.000646653
tour_1627,6166457.820021978
tour_1630,1487440.8887905604
tour_1632,18478014.625971563
tour_1637,18599148.802764706
tour_164,14019599.000646653
tour_1641,1668947.8333333333
tour_1643,35109046.35161524
tour_1649,6305877.89372
tour_1650,13855776.651034482
tour_1651,18478014.625971563
tour_1654,3661279.1517393487
tour_1657,21828041.232098766
tour_1660,1487440.8887905604
tour_1668,3661279.1517393487
tour_167,3661279.1517393487
tour_1674,14525130.082368419
tour_1676,21828041.232098766
tour_1680,6305877.89372
tour_1682,18478014.625971563
tour_1689,1487440.8887905604
tour_1695,14019599.000646653
tour_1696,1622368.271842105
tour_1699,14019599.000646653
tour_1704,1487440.8887905604
tour_171,4078014.202027027
tour_1711,1487440.8887905604
tour_1717,29068136.159350645
tour_1718,4549709.229890296
tour_1734,37478434.05137795
tour_1743,30996388.25677083
tour_1744,21828041.232098766
tour_1745,18478014.625971563
tour_175,29068136.159350645
tour_1754,14019599.000646653
tour_1759,21828041.232098766
tour_1766,21828041.232098766
tour_177,18478014.625971563
tour_1770,31563430.077118646
tour_1772,4078014.202027027
tour_1773,29068136.159350645
tour_1777,13855776.651034482
tour_178,1487440.8887905604
tour_179,1487440.8887905604
tour_1792,18599148.802764706
tour_1793,14525130.082368419
tour_1796,18478014.625971563
tour_1804,21828041.232098766
tour_1809,13855776.651034482
tour_1815,6294200.796982759
tour_1819,6166457.820021978
tour_1820,21828041.232098766
tour_1826,29068136.159350645
tour_1827,37478434.05137795
tour_183,4549709.229890296
tour_1830,21828041.232098766
tour_1834,18478014.625971563
tour_1836,14019599.000646653
tour_1839,3661279.1517393487
tour_1843,31563430.077118646
tour_1846,21828041.232098766
tour_1849,6166457.820021978
tour_1856,14525130.082368419
tour_1863,18478014.625971563
tour_1864,6166457.820021978
tour_1865,18599148.802764706
tour_1868,13855776.651034482
tour_1874,3661279.1517393487
tour_1879,21828041.232098766
tour_188,4549709.229890296
tour_1888,1487440.8887905604
tour_1889,21828041.232098766
tour_1892,13855776.651034482
tour_1894,18478014.625971563
tour_1901,4549709.229890296
tour_1903,29068136.159350645
tour_191,29068136.159350645
tour_1910,4549709.229890296
tour_1912,21828041.232098766
tour_1924,18560367.137888197
tour_1928,31563430.077118646
tour_1932,30996388.25677083
tour_1939,14019599.000646653
tour_1948,29068136.159350645
tour_1951,29068136.159350645
tour_1952,13855776.651034482
tour_1954,18478014.625971563
tour_1955,21828041.232098766
tour_1957,4078014.202027027
tour_196,13855776.651034482
tour_1964,1668947.8333333333
tour_1966,14019599.000646653
tour_1976,21828041.232098766
tour_198,1622368.271842105
tour_1983,21828041.232098766
tour_1984,18599148.802764706
tour_1987,18478014.625971563
tour_1989,14019599.000646653
tour_199,14019599.000646653
tour_1990,1487440.8887905604
tour_1991,14019599.000646653
tour_1992,3661279.1517393487
tour_1994,21828041.232098766
tour_1995,30996388.25677083
tour_1998,13855776.651034482
tour_200,14019599.000646653
tour_2007,14019599.000646653
tour_201,1487440.8887905604
tour_2010,13855776.651034482
tour_2011,21828041.232098766
tour_2012,3661279.1517393487
tour_2013,14019599.000646653
tour_2014,1487440.8887905604
tour_2017,37478434.05137795
tour_2023,18560367.137888197
tour_2025,31563430.077118646
tour_2030,6305877.89372
tour_2035,18478014.625971563
tour_2044,14525130.082368419
tour_2051,1622368.271842105
tour_2053,14525130.082368419
tour_2056,21828041.232098766
tour_2061,18599148.802764706
tour_2062,14019599.000646653
tour_2065,4078014.202027027
tour_2066,4549709.229890296
tour_2074,14019599.000646653
tour_2075,14019599.000646653
tour_2086,21828041.232098766
tour_209,4549709.229890296
tour_2091,30996388.25677083
tour_2097,4078014.202027027
tour_21,18478014.625971563
tour_2102,1487440.8887905604
tour_2108,14019599.000646653
tour_2117,4549709.229890296
tour_2120,1487440.8887905604
tour_2126,14019599.000646653
tour_2127,1487440.8887905604
tour_2128,21828041.232098766
tour_2132,4549709.229890296
tour_2133,21828041.232098766
tour_2137,4549709.229890296
tour_2141,18478014.625971563
tour_2142,18478014.625971563
tour_2147,14019599.000646653
tour_2148,18478014.625971563
tour_2150,1487440.8887905604
tour_2165,1487440.8887905604
tour_2167,31563430.077118646
tour_2171,4549709.229890296
tour_2173,30996388.25677083
tour_2174,13855776.651034482
tour_2181,18478014.625971563
tour_2189,1487440.8887905604
tour_2192,3661279.1517393487
tour_2193,1668947.8333333333
tour_2197,1487440.8887905604
tour_2198,6166457.820021978
tour_220,14525130.082368419
tour_2208,21828041.232098766
tour_2214,13855776.651034482
tour_2215,18478014.625971563
tour_2219,3661279.1517393487
tour_222,3661279.1517393487
tour_2224,4549709.229890296
tour_2225,3661279.1517393487
tour_2226,37478434.05137795
tour_2227,21828041.232098766
tour_2232,3661279.1517393487
tour_2235,3661279.1517393487
tour_2238,21828041.232098766
tour_224,1668947.8333333333
tour_2244,1487440.8887905604
tour_2245,4549709.229890296
tour_2247,14019599.000646653
tour_2249,4078014.202027027
tour_2256,21828041.232098766
tour_2257,1487440.8887905604
tour_2259,6166457.820021978
tour_226,1487440.8887905604
tour_2262,29068136.159350645
tour_2264,3591032.788075314
tour_2269,18478014.625971563
tour_227,18560367.137888197
tour_2272,21828041.232098766
tour_2273,1668947.8333333333
tour_2275,1668947.8333333333
tour_2279,14525130.082368419
tour_2287,3661279.1517393487
tour_229,4549709.229890296
tour_2293,21828041.232098766
tour_2298,4549709.229890296
tour_2300,4549709.229890296
tour_2303,29068136.159350645
tour_2304,3661279.1517393487
tour_2307,4078014.202027027
tour_2309,4138561.625
tour_2316,4078014.202027027
tour_2320,1487440.8887905604
tour_2322,18599148.802764706
tour_2323,13855776.651034482
tour_2332,4549709.229890296
tour_2335,14019599.000646653
tour_234,4549709.229890296
tour_2340,21828041.232098766
tour_2341,14019599.000646653
tour_2350,3661279.1517393487
tour_2359,14019599.000646653
tour_236,6305877.89372
tour_2363,18560367.137888197
tour_2365,21828041.232098766
tour_2366,14019599.000646653
tour_2369,21828041.232098766
tour_237,29068136.159350645
tour_2379,18478014.625971563
tour_239,14525130.082368419
tour_2390,13855776.651034482
tour_2393,6278452.614414414
tour_2397,4549709.229890296
tour_2404,1487440.8887905604
tour_2406,1487440.8887905604
tour_2413,3591032.788075314
tour_2415,1487440.8887905604
tour_2418,1487440.8887905604
tour_2427,4549709.229890296
tour_2430,1487440.8887905604
tour_2431,21828041.232098766
tour_2432,4549709.229890296
tour_2437,8332709.174722221
tour_244,6166457.820021978
tour_2442,14525130.082368419
tour_2452,18478014.625971563
tour_2456,18478014.625971563
tour_2460,29068136.159350645
tour_2464,1668947.8333333333
tour_2467,18478014.625971563
tour_2468,18560367.137888197
tour_247,18599148.802764706
tour_2472,18599148.802764706
tour_2473,3661279.1517393487
tour_2474,4549709.229890296
tour_2477,18478014.625971563
tour_248,29068136.159350645
tour_2481,18478014.625971563
tour_2491,1622368.271842105
tour_2494,3661279.1517393487
tour_2496,6166457.820021978
tour_2497,29068136.159350645
tour_2506,18478014.625971563
tour_2508,18599148.802764706
tour_2509,1487440.8887905604
tour_2512,14525130.082368419
tour_2513,18478014.625971563
tour_2514,29068136.159350645
tour_2520,14525130.082368419
tour_2522,4549709.229890296
tour_2523,14525130.082368419
tour_2531,3661279.1517393487
tour_2539,27766085.309210528
tour_2541,4549709.229890296
tour_2546,21828041.232098766
tour_2552,4549709.229890296
tour_2554,4549709.229890296
tour_2555,1668947.8333333333
tour_2556,1487440.8887905604
tour_2561,1668947.8333333333
tour_2568,1487440.8887905604
tour_2571,1668947.8333333333
tour_2577,4549709.229890296
tour_2581,13855776.651034482
tour_2582,18478014.625971563
tour_2589,4549709.229890296
tour_2591,3661279.1517393487
tour_2593,18560367.137888197
tour_2595,30996388.25677083
tour_2596,18560367.137888197
tour_2597,4549709.229890296
tour_2599,18478014.625971563
tour_26,14019599.000646653
tour_2603,1487440.8887905604
tour_2604,14525130.082368419
tour_261,21828041.232098766
tour_2612,4549709.229890296
tour_2614,18478014.625971563
tour_2616,4078014.202027027
tour_2619,27963871.875
tour_262,4549709.229890296
tour_2624,18478014.625971563
tour_2626,1668947.8333333333
tour_2628,4549709.229890296
tour_2640,3661279.1517393487
tour_2641,3661279.1517393487
tour_2642,4549709.229890296
tour_2645,4549709.229890296
tour_2649,35109046.35161524
tour_2653,6166457.820021978
tour_2657,1487440.8887905604
tour_266,1487440.8887905604
tour_2668,4549709.229890296
tour_267,3591032.788075314
tour_2676,3661279.1517393487
tour_268,13855776.651034482
tour_2681,4549709.229890296
tour_2683,37478434.05137795
tour_2686,1668947.8333333333
tour_2688,20793567.0
tour_269,4549709.229890296
tour_2690,6166457.820021978
tour_2691,4549709.229890296
tour_2692,6305877.89372
tour_2700,14019599.000646653
tour_2704,18478014.625971563
tour_2706,4549709.229890296
tour_2707,14525130.082368419
tour_2713,21828041.232098766
tour_272,29068136.159350645
tour_2720,21828041.232098766
tour_2724,1487440.8887905604
tour_2732,4549709.229890296
tour_2738,4549709.229890296
tour_2740,13855776.651034482
tour_2744,4549709.229890296
tour_2747,29068136.159350645
tour_2752,14525130.082368419
tour_2761,13855776.651034482
tour_2763,31563430.077118646
tour_2766,21828041.232098766
tour_2779,13855776.651034482
tour_278,14019599.000646653
tour_2781,13855776.651034482
tour_2784,1487440.8887905604
tour_2787,1487440.8887905604
tour_279,4549709.229890296
tour_2790,3661279.1517393487
tour_2796,18478014.625971563
tour_2797,18560367.137888197
tour_2799,13855776.651034482
tour_280,6166457.820021978
tour_2803,8332709.174722221
tour_2805,1487440.8887905604
tour_2808,29068136.159350645
tour_2812,31563430.077118646
tour_282,1668947.8333333333
tour_2821,1622368.271842105
tour_2822,37478434.05137795
tour_2823,1668947.8333333333
tour_2825,21828041.232098766
tour_2832,14019599.000646653
tour_284,1487440.8887905604
tour_2843,14019599.000646653
tour_2848,1668947.8333333333
tour_2852,1487440.8887905604
tour_2853,29068136.159350645
tour_2854,1487440.8887905604
tour_2857,1487440.8887905604
tour_2868,6166457.820021978
tour_2869,4549709.229890296
tour_2873,6166457.820021978
tour_2874,14019599.000646653
tour_2877,21828041.232098766
tour_2878,1487440.8887905604
tour_2879,14019599.000646653
tour_288,4549709.229890296
tour_2893,6166457.820021978
tour_2897,4549709.229890296
tour_2898,3661279.1517393487
tour_29,3661279.1517393487
tour_2901,6166457.820021978
tour_2907,3661279.1517393487
tour_2914,21828041.232098766
tour_2923,4549709.229890296
tour_2925,18478014.625971563
tour_2926,4549709.229890296
tour_2927,29068136.159350645
tour_2928,29068136.159350645
tour_2931,6166457.820021978
tour_2934,4549709.229890296
tour_2941,4549709.229890296
tour_2947,4549709.229890296
tour_2948,4549709.229890296
tour_2951,4549709.229890296
tour_2953,21828041.232098766
tour_2955,14019599.000646653
tour_2956,29068136.159350645
tour_2964,4549709.229890296
tour_2967,4549709.229890296
tour_2983,1668947.8333333333
tour_2986,18478014.625971563
tour_2989,1487440.8887905604
tour_2995,1668947.8333333333
tour_3,4549709.229890296
tour_300,21828041.232098766
tour_3020,18478014.625971563
tour_3021,3661279.1517393487
tour_3025,13855776.651034482
tour_3029,1487440.8887905604
tour_3030,4549709.229890296
tour_3034,13855776.651034482
tour_3045,18560367.137888197
tour_3058,4549709.229890296
tour_3065,1487440.8887905604
tour_308,18478014.625971563
tour_3083,4549709.229890296
tour_3085,13855776.651034482
tour_3094,13855776.651034482
tour_3096,3661279.1517393487
tour_3097,14019599.000646653
tour_3098,13855776.651034482
tour_3099,1487440.8887905604
tour_310,4549709.229890296
tour_3101,3661279.1517393487
tour_3106,21828041.232098766
tour_311,1487440.8887905604
tour_3110,14525130.082368419
tour_312,13855776.651034482
tour_3122,1487440.8887905604
tour_3123,1668947.8333333333
tour_3125,1668947.8333333333
tour_3128,14019599.000646653
tour_313,6166457.820021978
tour_3133,18478014.625971563
tour_3134,18478014.625971563
tour_3136,13855776.651034482
tour_3139,30996388.25677083
tour_3141,1487440.8887905604
tour_3145,29068136.159350645
tour_3147,21828041.232098766
tour_315,4549709.229890296
tour_3165,14019599.000646653
tour_3168,1487440.8887905604
tour_3179,13855776.651034482
tour_3191,18478014.625971563
tour_3195,18560367.137888197
tour_320,4549709.229890296
tour_3208,29068136.159350645
tour_3209,18478014.625971563
tour_3210,18560367.137888197
tour_3212,31563430.077118646
tour_3217,18599148.802764706
tour_3218,18560367.137888197
tour_323,4078014.202027027
tour_3233,1487440.8887905604
tour_3235,18478014.625971563
tour_3237,4549709.229890296
tour_3244,1487440.8887905604
tour_3247,21828041.232098766
tour_3249,21828041.232098766
tour_3252,14019599.000646653
tour_3254,14019599.000646653
tour_3257,18478014.625971563
tour_3259,1487440.8887905604
tour_3261,1668947.8333333333
tour_3267,13855776.651034482
tour_3269,1487440.8887905604
tour_3271,18478014.625971563
tour_3273,1668947.8333333333
tour_3283,14019599.000646653
tour_329,4549709.229890296
tour_33,14019599.000646653
tour_3303,13855776.651034482
tour_3304,1487440.8887905604
tour_3306,6166457.820021978
tour_3310,18478014.625971563
tour_3312,13855776.651034482
tour_3316,18560367.137888197
tour_3319,13855776.651034482
tour_3322,31563430.077118646
tour_3326,8332709.174722221
tour_3327,13855776.651034482
tour_333,1668947.8333333333
tour_3332,18478014.625971563
tour_3334,18478014.625971563
tour_3335,18478014.625971563
tour_3339,4549709.229890296
tour_334,3661279.1517393487
tour_3342,8332709.174722221
tour_3345,14525130.082368419
tour_3346,18478014.625971563
tour_3350,4078014.202027027
tour_3353,14019599.000646653
tour_3358,1487440.8887905604
tour_336,4549709.229890296
tour_3361,1668947.8333333333
tour_3365,14019599.000646653
tour_337,13855776.651034482
tour_3372,1668947.8333333333
tour_3384,1668947.8333333333
tour_3389,18560367.137888197
tour_3392,29068136.159350645
tour_3404,30996388.25677083
tour_341,29068136.159350645
tour_3414,1487440.8887905604
tour_3421,18560367.137888197
tour_3423,18478014.625971563
tour_3425,13855776.651034482
tour_3426,1487440.8887905604
tour_343,1487440.8887905604
tour_3441,1487440.8887905604
tour_3444,14019599.000646653
tour_345,1487440.8887905604
tour_3451,6166457.820021978
tour_3455,13855776.651034482
tour_3459,1487440.8887905604
tour_346,29068136.159350645
tour_3462,13855776.651034482
tour_3465,1668947.8333333333
