iter	MAE
0	7035887.611
1	7002654.22
2	6975697.337
3	6947295.434
4	6918817.246
5	6890629.462
6	6858347.933
7	6828325.199
8	6797667.849
9	6767268.306
10	6740601.847
11	6713181.964
12	6685647.136
13	6657449.687
14	6633043.779
15	6605365.534
16	6576961.792
17	6548733.113
18	6527497.62
19	6503484.377
20	6476616.319
21	6452972.281
22	6425410.227
23	6400762.6
24	6378279.879
25	6353905.748
26	6327833.506
27	6305367.12
28	6281727.167
29	6260004.002
30	6241366.854
31	6222354.611
32	6201198.743
33	6182013.527
34	6159495.422
35	6138848.285
36	6118877.68
37	6097502.281
38	6077074.365
39	6057384.673
40	6035268.294
41	6015658.188
42	5997351.278
43	5979860.733
44	5960899.272
45	5944363.256
46	5925434.333
47	5908361.502
48	5891338.124
49	5877965.695
50	5861083.991
51	5848375.102
52	5833907.062
53	5817207.689
54	5801711.594
55	5787986.983
56	5773362.933
57	5757242.913
58	5742323.034
59	5727470.759
60	5709873.932
61	5695268.967
62	5682027.456
63	5667904.529
64	5653423.815
65	5641784.886
66	5628391.285
67	5614829.841
68	5600780.343
69	5586448.076
70	5574369.379
71	5562752.559
72	5550128.534
73	5536268.862
74	5526435.827
75	5515261.579
76	5505940.242
77	5497168.9
78	5483625.081
79	5474872.508
80	5463087.162
81	5452101.149
82	5440340.828
83	5427579.937
84	5417994.985
85	5406835.698
86	5395596.904
87	5385418.787
88	5374864.921
89	5364023.903
90	5353951.215
91	5344051.455
92	5334616.937
93	5322550.466
94	5314032.922
95	5304543.679
96	5295514.896
97	5286200.508
98	5277389.684
99	5266887.738
100	5256361.08
101	5247596.022
102	5241389.294
103	5231379.26
104	5224996.422
105	5213750.692
106	5204879.031
107	5195319.388
108	5187675.562
109	5177992.863
110	5169588.457
111	5162408.724
112	5154753.038
113	5147122.453
114	5139918.935
115	5132290.921
116	5123942.89
117	5115673.548
118	5107416.284
119	5100425.644
120	5092882.153
121	5086598.288
122	5076979.561
123	5068778.849
124	5061539.084
125	5053978.023
126	5046063.473
127	5039513.977
128	5034731.426
129	5028374.954
130	5021320.851
131	5013710.312
132	5008520.33
133	5002817.3
134	4996673.126
135	4991875.918
136	4986412.897
137	4980707.917
138	4974819.651
139	4968157.983
140	4963990.557
141	4957939.552
142	4953143.209
143	4947623.021
144	4942125.418
145	4937210.523
146	4933950.635
147	4927310.246
148	4920345.305
149	4915679.437
150	4908642.106
151	4900767.836
152	4895282.925
153	4891450.414
154	4884773.503
155	4879937.792
156	4874515.139
157	4871438.158
158	4866911.547
159	4861057.284
160	4855530.123
161	4849650.872
162	4843163.723
163	4837579.887
164	4833046.686
165	4829084.539
166	4822883.68
167	4817481.348
168	4814135.583
169	4809858.547
170	4805498.518
