iter	Passed	Remaining
0	13	1298
1	26	1322
2	32	1045
3	43	1043
4	52	1004
5	63	988
6	72	963
7	84	972
8	93	949
9	100	908
10	109	888
11	114	840
12	124	830
13	134	827
14	143	812
15	153	808
16	163	797
17	173	790
18	183	780
19	201	807
20	213	802
21	224	795
22	234	786
23	241	765
24	250	750
25	260	741
26	270	732
27	281	723
28	292	716
29	301	703
30	311	693
31	322	685
32	331	672
33	341	662
34	352	654
35	361	642
36	376	640
37	386	630
38	397	621
39	411	616
40	422	607
41	433	597
42	443	587
43	452	576
44	463	566
45	473	555
46	485	547
47	495	537
48	504	525
49	516	516
50	525	504
51	534	493
52	543	482
53	556	473
54	569	466
55	582	457
56	595	449
57	606	438
58	618	429
59	627	418
60	636	406
61	645	395
62	656	385
63	666	374
64	675	363
65	686	353
66	697	343
67	707	332
68	717	322
69	728	312
70	741	302
71	753	293
72	766	283
73	777	273
74	790	263
75	803	253
76	815	243
77	830	234
78	839	223
79	854	213
80	869	203
81	883	193
82	899	184
83	913	174
84	946	166
85	984	160
86	1010	150
87	1028	140
88	1057	130
89	1092	121
90	1122	110
91	1138	98
92	1154	86
93	1169	74
94	1182	62
95	1196	49
96	1217	37
97	1231	25
98	1246	12
99	1261	0
