ID,total_cost
tour_1,20103976.563017033
tour_100,10643192.543251283
tour_1001,8574962.40799643
tour_1006,2858472.742846753
tour_1009,20428419.50127407
tour_1010,2932795.120435705
tour_1014,3685239.157679157
tour_1015,2364324.58900474
tour_1019,712524.4512097589
tour_1020,6706782.477103157
tour_1023,12529775.782130087
tour_1025,18586633.123371676
tour_1031,28295609.64889659
tour_1037,2986034.3023828245
tour_1044,3333494.804807922
tour_1053,4394776.655242152
tour_1056,4032484.285642531
tour_106,10658469.911780346
tour_1064,3960484.050970467
tour_1069,12755824.661420288
tour_1077,676877.4034582726
tour_1084,2890923.42369762
tour_1087,6064492.900907611
tour_1089,490369.1763175498
tour_1091,1030573.7154580471
tour_1093,6324081.8926945375
tour_1094,1357147.7119186276
tour_110,422713.5371626583
tour_1100,1958667.8789893466
tour_1101,23121010.33433828
tour_1105,4824082.52384451
tour_1106,9842210.39587371
tour_111,1177391.367983962
tour_1112,18376724.89981828
tour_1113,10950852.433477063
tour_1114,1024463.4388402882
tour_1117,1480905.6634583876
tour_1119,4509480.170682707
tour_1127,4239210.693343309
tour_1140,2393586.0766258435
tour_1141,1660159.6670944407
tour_1143,3411679.2939989273
tour_1145,810066.0426285728
tour_1148,2075742.4785737041
tour_1153,925307.2874703957
tour_1156,2605880.4919972704
tour_1157,2715649.2570373383
tour_1160,657936.1064645732
tour_1169,9709810.349057209
tour_1170,2645707.367370193
tour_1177,1027138.5137912706
tour_1180,4052750.3333810773
tour_1185,5404408.422563884
tour_1187,1397043.322195578
tour_1189,19413683.18701155
tour_119,12928977.4445384
tour_1199,915845.5315902731
tour_120,464838.9963708976
tour_1204,7073473.305407068
tour_1206,2427749.373129041
tour_1218,909179.3291300703
tour_1223,3378988.2156654517
tour_1225,5873488.05120679
tour_1227,4068483.476501438
tour_1228,216149.74027336808
tour_1229,2861625.221005719
tour_1232,10534990.615971306
tour_1236,25128543.575795714
tour_1237,4129065.179641254
tour_124,5512869.804688532
tour_1240,1460404.1582790646
tour_1243,466182.40511729335
tour_125,2021121.0495110173
tour_1250,18966896.96258544
tour_1251,7336581.3553247135
tour_1255,4207502.63216258
tour_1257,6039746.580331663
tour_1258,11319026.614901971
tour_1264,426249.89505372895
tour_1266,1541347.793501215
tour_1268,11090824.133367842
tour_1269,1067987.0902830008
tour_127,1938600.012806279
tour_1270,1696514.605488995
tour_1272,649761.4462236296
tour_1277,2937507.332479272
tour_1280,5825206.058450989
tour_1283,14683366.452459618
tour_1284,8585588.15575957
tour_1285,3709807.822299682
tour_1288,1575788.5610598228
tour_1292,2915318.5001186337
tour_1293,4833345.822334965
tour_1297,3811456.666336381
tour_1299,6836706.44539015
tour_130,1562161.146669752
tour_1300,1918669.275242847
tour_1301,2358183.1714155716
tour_1307,2564782.162710641
tour_131,523369.57549859723
tour_1317,7871323.088658497
tour_1318,5049563.099851949
tour_1320,3004615.886394318
tour_1322,1892334.9571697717
tour_1323,2685198.2644972596
tour_1341,272547.8519665655
tour_1346,3429359.759630426
tour_1348,2248135.0962320594
tour_1352,10103246.719684444
tour_1354,11602349.457744315
tour_1355,6135955.4635577705
tour_1365,629094.2227354548
tour_1366,9949889.157137873
tour_1374,4368469.885844038
tour_1378,1137821.395961618
tour_1389,1308989.8649137125
tour_1392,904067.0081821294
tour_1396,2413469.743120553
tour_1398,6728433.017056141
tour_140,538244.0385427461
tour_1403,1005627.7605072553
tour_1407,11690001.209134141
tour_1416,986310.9864039887
tour_1421,3847915.5043868194
tour_1424,9222723.915613052
tour_1428,14342173.386862382
tour_1433,361490.7375221816
tour_1434,2784751.683438031
tour_1435,545984.5832435507
tour_1437,603445.2992454972
tour_1438,1048676.7447525538
tour_1441,286594.9767603148
tour_1442,1001958.9952300275
tour_1449,2072391.9090101272
tour_1450,13392674.688350907
tour_1451,352221.42938432936
tour_1459,9204228.047652252
tour_1463,421115.2771948632
tour_1468,2042556.3094409567
tour_1470,174332.72557992488
tour_1477,4204198.074220695
tour_1479,28678543.939775426
tour_1484,3130143.2910297774
tour_1488,22899333.883965816
tour_1497,3844966.251277862
tour_1499,5165159.201120449
tour_15,5323727.19098392
tour_1502,4973780.186535319
tour_1503,5050680.063798889
tour_1515,12707210.682812862
tour_1517,13377446.400581237
tour_1521,2497642.4442397873
tour_1522,360221.49075946957
tour_1523,9519972.660309566
tour_1527,3874612.084259941
tour_153,1644745.7337249054
tour_1532,10094563.68497522
tour_1535,766110.695437564
tour_1539,9865384.975202767
tour_154,6710643.594149268
tour_1540,3095125.399544307
