ID,total_cost
tour_1,16942695.03705786
tour_100,14310605.04997986
tour_1001,6150230.565556236
tour_1006,1736887.4398024103
tour_1009,19288255.785542674
tour_1010,1569318.478947927
tour_1014,4528341.2024486335
tour_1015,1258115.049920931
tour_1019,294714.6292169591
tour_1020,5168361.006214267
tour_1023,11195049.138605284
tour_1025,17011597.94904972
tour_1031,24572828.144270018
tour_1037,3071506.705978413
tour_1044,4391825.545739806
tour_1053,6065521.493925366
tour_1056,5045516.3465506695
tour_106,8950083.680410402
tour_1064,4766240.484125907
tour_1069,11054322.326154971
tour_1077,587457.2561722209
tour_1084,4837563.798541454
tour_1087,6406784.791351428
tour_1089,389242.65162055334
tour_1091,1226603.5777897367
tour_1093,5844742.260716968
tour_1094,1371093.3226748728
tour_110,583418.9903634596
tour_1100,2413576.719244038
tour_1101,21129887.00491736
tour_1105,4343285.327004488
tour_1106,8065157.806964154
tour_111,571265.5813215299
tour_1112,15134334.709402667
tour_1113,10781570.579730242
tour_1114,1022976.7599754739
tour_1117,1214548.3125363844
tour_1119,4394830.867103169
tour_1127,5989008.319964042
tour_1140,2244657.0074679074
tour_1141,2426542.542423438
tour_1143,3614659.624776662
tour_1145,1013574.5472410377
tour_1148,1873604.7218093218
tour_1153,937284.3684206987
tour_1156,1430569.7029004165
tour_1157,2124704.1054942203
tour_1160,772018.8295378212
tour_1169,11471056.985839957
tour_1170,2122033.903158673
tour_1177,1263892.89698661
tour_1180,4476341.155056506
tour_1185,4353434.156020525
tour_1187,1471648.9517786324
tour_1189,21062158.71099002
tour_119,10764412.927019931
tour_1199,835968.3652917643
tour_120,185035.52212531486
tour_1204,6020490.909666093
tour_1206,1808367.1966177449
tour_1218,515586.6266401987
tour_1223,2664713.2862612694
tour_1225,5125171.38487679
tour_1227,4682872.682644846
tour_1228,139849.65309707384
tour_1229,2505368.652590515
tour_1232,9435856.450178454
tour_1236,21357871.948092993
tour_1237,3208928.341912853
tour_124,5735218.062531268
tour_1240,1295446.7430104944
tour_1243,463561.23370514734
tour_125,3212227.449056976
tour_1250,18919422.075394303
tour_1251,7453577.886103007
tour_1255,5023034.976771878
tour_1257,5605458.539823849
tour_1258,10557968.415381335
tour_1264,348979.55205211457
tour_1266,1291373.230194419
tour_1268,9689894.657635445
tour_1269,554751.8442244321
tour_127,1397466.551045492
tour_1270,1413410.4697414886
tour_1272,375374.8995682818
tour_1277,3089682.998143145
tour_1280,6923659.239830905
tour_1283,13886292.11386708
tour_1284,6219564.884140435
tour_1285,3419431.827261582
tour_1288,1415681.3216019783
tour_1292,3013564.3857022803
tour_1293,4853428.346160372
tour_1297,4742831.5833668625
tour_1299,6655720.557158813
tour_130,586999.0888124072
tour_1300,2050533.0972113258
tour_1301,3034042.944835173
tour_1307,2134229.619990516
tour_131,445481.6022604974
tour_1317,8272633.571528753
tour_1318,5850131.840267317
tour_1320,2535757.496089084
tour_1322,1816808.5660899484
tour_1323,2042640.812464699
tour_1341,212969.8953134039
tour_1346,2989561.7836662857
tour_1348,2385168.2878947603
tour_1352,7703584.967472614
tour_1354,10749005.431504281
tour_1355,6790408.060297301
tour_1365,1036807.5032855789
tour_1366,11370243.278174251
tour_1374,4701958.047426568
tour_1378,1287624.173913264
tour_1389,1538458.2349225413
tour_1392,623209.9899215123
tour_1396,1643341.002034937
tour_1398,7176986.772144426
tour_140,442347.88566620473
tour_1403,1273085.5936806453
tour_1407,11483500.766545178
tour_1416,1136226.8546305932
tour_1421,4274885.985171548
tour_1424,8795988.953993166
tour_1428,11174742.686456801
tour_1433,320800.9058252122
tour_1434,2397552.4195184195
tour_1435,361800.4407738457
tour_1437,270965.4789442387
tour_1438,1083369.1608597313
tour_1441,188089.14332916
tour_1442,1087893.8691383295
tour_1449,1912564.4567743712
tour_1450,13315896.507276166
tour_1451,295705.4602272676
tour_1459,7777579.260564646
tour_1463,180087.97072859888
tour_1468,1765878.4913335158
tour_1470,137141.13524907737
tour_1477,3773234.011230664
tour_1479,24135217.180079285
tour_1484,2829710.8632953605
tour_1488,21967942.23795837
tour_1497,5517090.689419492
tour_1499,4215608.693071994
tour_15,5051186.304976342
tour_1502,3934328.2826893306
tour_1503,5720132.214070492
tour_1515,11984222.486574078
tour_1517,15871979.8281739
tour_1521,2136401.02027547
tour_1522,436094.47744080593
tour_1523,9537281.771603333
tour_1527,3666627.1463184794
tour_153,1582215.834759508
tour_1532,11470437.405242942
tour_1535,704331.2643892422
tour_1539,10353798.77984556
tour_154,7295070.254831033
tour_1540,1926005.7508858114
tour_1544,4789187.770031202
tour_1546,841151.3580600164
tour_1549,3518435.745703881
tour_1552,7209310.8940540105
tour_1553,6248397.19442459
tour_1554,1189544.4463950645
tour_1557,2148586.039118328
tour_1566,7763043.6201935075
tour_1568,739422.2099483131
tour_1569,11598624.49528893
tour_158,1211018.6790669868
tour_1583,9172884.61783592
tour_1584,12926881.211657451
tour_1588,5157654.69694352
tour_159,21361581.634829327
tour_1594,934281.2792446567
tour_1595,6956904.31300782
tour_160,5865976.873089302
tour_1603,12905296.680209192
tour_1608,1739048.1957184973
tour_161,4849494.584797821
tour_1611,6550608.246350738
tour_1615,4799980.055454754
tour_1622,2180598.909978764
tour_1624,8915161.019887362
tour_1625,7732579.301389703
tour_1627,5649381.7904167315
tour_1630,336381.408461171
tour_1632,6258942.192541999
tour_1637,13879278.700410424
tour_164,2853823.5319171064
tour_1641,1256967.8704292614
tour_1643,20574239.8190149
tour_1649,3060101.4120109295
tour_1650,15898865.886507628
tour_1651,13096497.440931385
tour_1654,662335.736354325
tour_1657,13517559.357694903
tour_1660,1293764.5131319421
tour_1668,3442626.9675931646
tour_167,4919387.778487872
tour_1674,14597871.951381657
tour_1676,12006115.411026824
tour_1680,6855016.731649807
tour_1682,13464230.791034603
tour_1689,506302.04957180156
tour_1695,11628895.921490682
tour_1696,1701238.9148344737
tour_1699,10691053.464540903
tour_1704,190016.69339180866
tour_171,866230.6558220016
tour_1711,314701.61998084607
tour_1717,8689816.138501473
tour_1718,2721448.901826539
tour_1734,13752477.22231934
tour_1743,10365109.941898286
tour_1744,17394333.783044033
tour_1745,9375012.800302962
tour_175,15812957.93507987
tour_1754,10083162.307876525
tour_1759,15789222.504122645
tour_1766,12587054.088547051
tour_177,11351301.244044865
tour_1770,23091185.80459432
tour_1772,2610095.099297326
tour_1773,19109154.993340783
tour_1777,5657651.419206656
tour_178,1088249.2317846625
tour_179,1279310.5241583763
tour_1792,15348277.01802138
tour_1793,20137113.70361036
tour_1796,20093503.48224573
tour_1804,6713861.573327877
tour_1809,10190046.900217522
tour_1815,3812551.895407716
tour_1819,3926860.5075792014
tour_1820,5679311.487898893
tour_1826,14221935.922197284
tour_1827,17250868.399816237
tour_183,6951412.043356585
tour_1830,16632841.888034556
tour_1834,8524701.287663212
tour_1836,7189416.68820534
tour_1839,6764038.061290738
tour_1843,21116057.749531038
tour_1846,13690596.812936448
tour_1849,6252142.325955651
tour_1856,18056207.073454447
tour_1863,11471433.319336796
tour_1864,3909074.2534622597
