ID,total_cost
tour_1,19118360.40170845
tour_100,10285405.274135133
tour_1001,7306937.5589583
tour_1006,1844909.3760804948
tour_1009,18333026.7070159
tour_1010,1141587.7686098854
tour_1014,4256814.593550453
tour_1015,1496079.8315906876
tour_1019,471837.39115717995
tour_1020,4855234.569080828
tour_1023,11249373.796612838
tour_1025,16724825.871924384
tour_1031,26192925.67909971
tour_1037,2534482.5366732418
tour_1044,3754913.361250389
tour_1053,3480851.096378529
tour_1056,4589852.946213105
tour_106,9381111.83210757
tour_1064,3257858.6074750805
tour_1069,10642397.209488938
tour_1077,587626.3877120063
tour_1084,4127437.804398943
tour_1087,6919321.328640526
tour_1089,389241.4715332141
tour_1091,1315056.6282908628
tour_1093,5028962.834724934
tour_1094,896902.635959955
tour_110,642417.6110278788
tour_1100,1886406.5780370587
tour_1101,21646268.99378967
tour_1105,4208760.915488079
tour_1106,7291440.708134686
tour_111,660456.8503203233
tour_1112,15289495.576692102
tour_1113,10616806.810884682
tour_1114,905155.0698850433
tour_1117,1060106.5078783573
tour_1119,4187958.6834225114
tour_1127,5175996.038302937
tour_1140,2576008.8146383995
tour_1141,2471521.6433787183
tour_1143,3642275.087703623
tour_1145,1011131.78009984
tour_1148,1582478.1928053964
tour_1153,1027482.2589610924
tour_1156,1890582.152569298
tour_1157,2344295.094073864
tour_1160,653821.7955402753
tour_1169,11235998.4572979
tour_1170,1528510.6533762158
tour_1177,1162972.5750202048
tour_1180,4388149.659305559
tour_1185,3905143.9940294684
tour_1187,1429963.364567212
tour_1189,21010801.83478081
tour_119,10104654.65984909
tour_1199,834796.7515133017
tour_120,309922.9370371536
tour_1204,7684982.96909085
tour_1206,1339147.3854339533
tour_1218,648928.2036112669
tour_1223,3064587.0758918244
tour_1225,4651156.6155106025
tour_1227,3979696.388935655
tour_1228,182170.68827036393
tour_1229,2722406.211862686
tour_1232,9155255.643635124
tour_1236,24077906.19552972
tour_1237,3315942.5056834645
tour_124,5451819.745805175
tour_1240,1237098.3411181378
tour_1243,458618.41351415706
tour_125,2882009.922616383
tour_1250,18524582.821278337
tour_1251,6616221.586204275
tour_1255,4048381.5063550007
tour_1257,6455806.830986016
tour_1258,10118295.212219138
tour_1264,434688.06679225364
tour_1266,1230687.3606834621
tour_1268,8811401.00083136
tour_1269,529825.7455432082
tour_127,1045684.4273596932
tour_1270,935611.8813410299
tour_1272,525764.834304327
tour_1277,2667675.4879088206
tour_1280,6524001.505892285
tour_1283,11797520.278477212
tour_1284,5723210.958575641
tour_1285,3362850.1226090975
tour_1288,1172470.3722019778
tour_1292,3739876.7871420137
tour_1293,4951512.052759604
tour_1297,3482401.9395309305
tour_1299,5948400.349360912
tour_130,730430.6940860987
tour_1300,1750038.325269551
tour_1301,1672161.8653847435
tour_1307,2256438.090979623
tour_131,433577.7842328458
tour_1317,8630328.388149483
tour_1318,6209245.963674071
tour_1320,2563075.3292308743
tour_1322,2006134.589806529
tour_1323,1588179.1184392604
tour_1341,186876.8922744777
tour_1346,2183551.8851300217
tour_1348,2354544.507109659
tour_1352,7616989.316891144
tour_1354,9846540.871436315
tour_1355,6746050.13787095
tour_1365,493278.3596876528
tour_1366,10988041.502360312
tour_1374,5199221.133433287
tour_1378,1023064.934650938
tour_1389,1388425.9663865536
tour_1392,789174.8895877977
tour_1396,1773082.646230525
tour_1398,6288898.262792398
tour_140,562883.5885488612
tour_1403,1344746.445739843
tour_1407,10913341.86930709
tour_1416,999510.0416186886
tour_1421,3295000.3509793603
tour_1424,8911855.007253597
tour_1428,11916743.202159498
tour_1433,387825.6645996682
tour_1434,-620565.026077404
tour_1435,580457.1449262295
tour_1437,383020.82221353037
tour_1438,796579.4105755279
tour_1441,169520.94952029677
tour_1442,966901.8150090547
tour_1449,1157698.0717067355
tour_1450,12961054.168612646
tour_1451,304109.5602363961
tour_1459,8442257.538255714
tour_1463,-51822.73871605704
tour_1468,1114353.8059155073
tour_1470,41598.49055649643
tour_1477,3554123.2506403616
tour_1479,27723540.073200647
tour_1484,2652794.0060785096
tour_1488,22246537.355458178
tour_1497,5510665.79464449
tour_1499,6560046.671921897
tour_15,5149379.72681223
tour_1502,4563572.404977831
tour_1503,4947276.665275977
tour_1515,12178861.838480264
tour_1517,15906882.200270237
tour_1521,1520083.8186251202
tour_1522,368510.61995809234
tour_1523,7885402.391835791
tour_1527,3465639.2082091337
tour_153,999325.5252512665
tour_1532,10801195.53380979
tour_1535,571922.690853934
tour_1539,10047135.394090654
tour_154,7662800.14688268
tour_1540,2098489.4156010062
tour_1544,4212220.279233315
tour_1546,939569.7988344738
tour_1549,2494760.6040332424
tour_1552,6540091.393555367
tour_1553,5286973.786307157
tour_1554,1341092.639872812
tour_1557,1848978.1935527157
tour_1566,9208911.06008627
tour_1568,900857.9968523285
tour_1569,11751088.063060554
tour_158,736426.1037411336
tour_1583,8691008.71329769
tour_1584,13009741.05609128
tour_1588,5042589.168711679
tour_159,22549124.306885954
tour_1594,675195.7333348214
tour_1595,7859490.247212738
tour_160,6110787.147153715
tour_1603,12922301.845612893
tour_1608,1736329.76953412
tour_161,4130505.3516349704
tour_1611,5896067.070226111
tour_1615,4854872.368434952
tour_1622,2602634.9828892564
tour_1624,8646659.614234645
tour_1625,7416789.669796995
tour_1627,7355406.670660495
tour_1630,485898.72945591266
tour_1632,8237439.755901562
tour_1637,14970213.745561557
tour_164,2661859.5777995
tour_1641,1079245.2634224459
tour_1643,22803525.70349575
tour_1649,3154394.7911035344
tour_1650,16309028.966797093
tour_1651,12902565.5055816
