ID,total_cost
tour_1,25926594.791559994
tour_100,23747790.4692
tour_1001,18997861.023300003
tour_1006,3968654.606264
tour_1009,25561931.3205
tour_1010,4335822.00673
tour_1014,6160870.365445005
tour_1015,2739286.57632
tour_1019,1200036.4414559999
tour_1020,8289300.570500001
tour_1023,9618136.4545
tour_1025,15758321.363799999
tour_1031,28533529.537399963
tour_1037,3744787.1088999994
tour_1044,3785086.32046
tour_1053,6578439.453999999
tour_1056,4913869.54664
tour_106,34069260.651700005
tour_1064,8678742.331400001
tour_1069,16132012.370459998
tour_1077,1075911.0727999995
tour_1084,4490610.954564
tour_1087,15094349.6328
tour_1089,865027.150764
tour_1091,1183547.3833919999
tour_1093,10382774.835099999
tour_1094,1591112.0414600002
tour_110,773887.201
tour_1100,5587294.8050999995
tour_1101,28695338.191479996
tour_1105,5656621.378885714
tour_1106,13175860.99805
tour_111,1241557.9488599997
tour_1112,22628957.443150003
tour_1113,4534889.059116665
tour_1114,1076479.996
tour_1117,2259757.665699999
tour_1119,3712140.3111999985
tour_1127,4360628.35857
tour_1140,1789840.1251799993
tour_1141,3065092.5950400005
tour_1143,5340597.196799999
tour_1145,1061699.4075999998
tour_1148,2610445.64645
tour_1153,2525663.000779997
tour_1156,3009679.5896599977
tour_1157,2093361.8184499992
tour_1160,736293.3927879999
tour_1169,12259933.513549993
tour_1170,1796010.2903699991
tour_1177,1341504.0635
tour_1180,5304315.859099999
tour_1185,4735768.404699999
tour_1187,1454005.350744
tour_1189,21206310.3949
tour_119,18220942.55790001
tour_1199,1532683.9133000001
tour_120,1029328.07675
tour_1204,18117556.9675
tour_1206,8975452.707
tour_1218,2452638.452138
tour_1223,2379371.572948
tour_1225,6466355.029190001
tour_1227,3833298.9036500007
tour_1228,260878.31290000002
tour_1229,2301929.4325
tour_1232,12169669.0922125
tour_1236,19290966.75976001
tour_1237,2267045.2947
tour_124,4264522.24625
tour_1240,2797312.5721700015
tour_1243,522984.6185
tour_125,3094206.0407999996
tour_1250,23442259.175150003
tour_1251,11551923.980500001
tour_1255,4986760.38517
tour_1257,8129247.710299999
tour_1258,26808277.830899995
tour_1264,727062.1682502857
tour_1266,5465173.161776
tour_1268,11552717.802599994
tour_1269,1411040.0750699947
tour_127,7599368.483480002
tour_1270,1346502.6045
tour_1272,681247.0752999999
tour_1277,3972514.103729999
tour_1280,5925265.944
tour_1283,27827280.256240003
tour_1284,17449492.85074999
tour_1285,8024544.36755
tour_1288,2401044.4892399986
tour_1292,5094973.91983
tour_1293,5203106.481200001
tour_1297,5432476.4755
tour_1299,7541695.598200002
tour_130,969052.52665
tour_1300,2443074.0858400012
tour_1301,1849967.3534800003
tour_1307,2522571.4578
tour_131,1130015.8661093332
tour_1317,9190500.453575
tour_1318,5589288.1012
tour_1320,9035371.090960018
tour_1322,2206444.6074
tour_1323,4621419.481550001
tour_1341,456702.866792
tour_1346,2684368.4294499997
tour_1348,3853356.3199
tour_1352,31978221.29656
tour_1354,13065810.7543
tour_1355,5080938.42486
tour_1365,892728.6808679998
tour_1366,8926934.835106663
tour_1374,5659640.76125
tour_1378,922574.5928900002
tour_1389,1456448.338619998
tour_1392,1341705.4975880005
tour_1396,2303105.4508
tour_1398,8080066.651999999
tour_140,719345.490444
tour_1403,2140537.4623
tour_1407,8915254.351015009
tour_1416,1023796.8436479997
tour_1421,4864315.240979998
tour_1424,25043104.628986664
tour_1428,16624882.892499998
tour_1433,624726.0664
tour_1434,5229147.99709
tour_1435,1102056.0656199995
tour_1437,952479.842334
tour_1438,1473579.3479
tour_1441,1785591.23775
tour_1442,1381544.2337499997
tour_1449,2670146.926228
tour_1450,15176748.761799999
tour_1451,745366.6238800006
tour_1459,13265911.137516662
tour_1463,411352.66
tour_1468,2467675.3131199996
tour_1470,206598.976
tour_1477,4170713.508650003
tour_1479,28795279.494719982
tour_1484,2918373.9220899986
tour_1488,32569989.066199996
tour_1497,12131815.803109994
tour_1499,7511901.69045
tour_15,7993253.540449999
tour_1502,8161006.038149997
tour_1503,5014193.879
tour_1515,13089835.932096662
tour_1517,14987371.1856
tour_1521,2350341.7603599997
tour_1522,748157.2980999999
tour_1523,8415591.05498333
tour_1527,4411331.6805
tour_153,2290099.950644
tour_1532,11714162.20115
tour_1535,1182802.1005
tour_1539,11831403.327425001
tour_154,9284278.575299999
tour_1540,6646200.991600003
tour_1544,4072297.5115
tour_1546,2465204.4698
tour_1549,5581749.704263997
tour_1552,18253733.13288001
tour_1553,5518661.39425
tour_1554,3676963.819309997
tour_1557,5485015.826900001
tour_1566,11791809.17956
tour_1568,860166.1657279999
tour_1569,11527360.579158358
tour_158,1719018.1504639997
tour_1583,38474616.64518
tour_1584,11945536.151320003
tour_1588,4973462.404449997
tour_159,26844137.622399997
tour_1594,4587528.445120001
tour_1595,21714960.787299998
tour_160,9723214.046950003
tour_1603,10270094.674256667
tour_1608,1501488.6738999998
tour_161,5034509.734560004
tour_1611,6416114.8235
tour_1615,4645054.47065
tour_1622,3167471.713799999
tour_1624,15106146.968999997
tour_1625,6808591.345549999
tour_1627,10324046.53995
tour_1630,668474.3284333332
tour_1632,11341835.796
tour_1637,12172340.47652
tour_164,4900037.630549999
tour_1641,911307.7663419975
tour_1643,37109797.24340001
tour_1649,3605584.4813
tour_1650,27263417.47091999
tour_1651,13143418.9415
tour_1654,2000179.7435319999
tour_1657,20517274.64129999
tour_1660,1676516.4185
tour_1668,3946322.8551500007
tour_167,7194732.2136
tour_1674,14218090.574874999
tour_1676,12415406.020969998
tour_1680,8233357.5672
tour_1682,7805139.039410001
tour_1689,724005.9478
tour_1695,7104758.908883336
tour_1696,1939019.8935
tour_1699,12481357.097210001
tour_1704,423565.928
tour_171,4972289.9234
tour_1711,399244.60460000025
tour_1717,11357662.519166643
tour_1718,3805658.325549999
tour_1734,22484447.05120001
tour_1743,15424256.257849999
tour_1744,29032648.6285
tour_1745,13181607.21673214
tour_175,16517835.005220003
tour_1754,27891987.67679991
tour_1759,22003464.13875
tour_1766,18295804.22072667
tour_177,11960497.984710002
tour_1770,34437780.058979996
tour_1772,3417626.840234
tour_1773,35322236.331659995
tour_1777,7724482.550410002
tour_178,1573752.5308500007
tour_179,1195071.0716
tour_1792,13667732.320724998
tour_1793,22506291.975599997
tour_1796,17489797.917990007
tour_1804,6771637.739119994
tour_1809,8916455.033988887
tour_1815,4210851.671419999
tour_1819,8864453.155599987
tour_1820,3214256.1752799996
tour_1826,15864353.4141
tour_1827,37542181.13163997
tour_183,5166919.721899999
tour_1830,15483803.217828333
tour_1834,7006268.647250003
tour_1836,8214340.064269999
tour_1839,9638707.808799999
tour_1843,18201037.7173
tour_1846,18443682.291964285
tour_1849,9475904.7057
tour_1856,18529437.257400002
tour_1863,10609286.58145
tour_1864,6264620.849
tour_1865,7577558.285499999
tour_1868,22229398.482649993
tour_1874,5681944.596399999
tour_1879,28693556.8725
tour_188,1587347.8160599999
tour_1888,863455.994
tour_1889,28807733.878
tour_1892,14559255.955055004
tour_1894,7830080.862770002
tour_1901,4576777.46449
tour_1903,23354174.365142856
tour_191,47067164.56444
tour_1910,1239046.1758
tour_1912,24781302.889517855
tour_1924,11890958.1137
tour_1928,25245830.605200004
tour_1932,22216470.956400007
tour_1939,9172968.106650008
tour_1948,9099347.042759998
tour_1951,23790177.994486663
tour_1952,21931783.11859995
tour_1954,12677608.018799989
tour_1955,27676290.05575
tour_1957,5295665.49495
tour_196,13962211.094820006
tour_1964,1876606.5336600002
tour_1966,22381563.21589999
tour_1976,18375138.0394
tour_198,2070399.0221879994
tour_1983,10209806.51002
