ID,total_cost
tour_1,16928455.2244
tour_100,16639495.715
tour_1001,5767286.107999999
tour_1006,3395940.245
tour_1009,19862659.4114
tour_1010,1284984.645
tour_1014,5528809.819
tour_1015,2791915.145
tour_1019,663723.105
tour_1020,4962547.819
tour_1023,10453961.4952
tour_1025,14479821.227
tour_1031,27229735.261000004
tour_1037,3260900.5519999997
tour_1044,4477150.7
tour_1053,3484878.675
tour_1056,3960305.69
tour_106,22518980.891999997
tour_1064,4024949.642
tour_1069,12172351.407
tour_1077,985854.075
tour_1084,1590081.82
tour_1087,7664834.156
tour_1089,499090.115
tour_1091,978892.575
tour_1093,5354075.394
tour_1094,1363492.125
tour_110,529140.735
tour_1100,2699852.334
tour_1101,19503682.65
tour_1105,4915609.055
tour_1106,5227724.345
tour_111,1210960.275
tour_1112,15066896.34
tour_1113,9543455.3533
tour_1114,1021502.21
tour_1117,1282061.85
tour_1119,3507071.555
tour_1127,4158247.913
tour_1140,1935414.28
tour_1141,1961144.905
tour_1143,3163851.6
tour_1145,889496.625
tour_1148,2022045.451
tour_1153,1328545.725
tour_1156,2873434.856
tour_1157,2838084.4960000003
tour_1160,729069.95
tour_1169,11126327.629499998
tour_1170,1949477.535
tour_1177,1018533.335
tour_1180,4026007.485
tour_1185,4503836.45
tour_1187,1486206.46
tour_1189,25062712.387
tour_119,12954829.660999998
tour_1199,1001683.2
tour_120,569983.785
tour_1204,10024976.0515
tour_1206,2136286.425
tour_1218,762294.075
tour_1223,2838610.035
tour_1225,4342271.972999999
tour_1227,4043901.231
tour_1228,443654.335
tour_1229,2777928.775
tour_1232,7940512.217
tour_1236,16980696.3764
tour_1237,3231206.71
tour_124,5006096.056
tour_1240,1849956.61
tour_1243,501445.985
tour_125,2708932.185
tour_1250,18564659.5564
tour_1251,7594904.257999999
tour_1255,4949261.54
tour_1257,4613414.828
tour_1258,17435101.247
tour_1264,452239.955
tour_1266,1123684.175
tour_1268,11507377.507000001
tour_1269,581453.935
tour_127,1284984.645
tour_1270,1031938.91
tour_1272,490339.11
tour_1277,2706330.66
tour_1280,4629314.395
tour_1283,23982420.555
tour_1284,10999894.869
tour_1285,3469575.975
tour_1288,1263670.725
tour_1292,2997399.7939999998
tour_1293,4882115.056
tour_1297,3358200.6
tour_1299,4026959.005
tour_130,1180370.72
tour_1300,1937966.235
tour_1301,1389494.6692000001
tour_1307,3917980.595
tour_131,551500.885
tour_1317,7582993.836
tour_1318,3408440.523
tour_1320,2914273.94
tour_1322,1591279.8
tour_1323,1180370.72
tour_1341,441734.71
tour_1346,1927340.255
tour_1348,1955918.451
tour_1352,17604624.689400002
tour_1354,11890298.767
tour_1355,6224971.786
tour_1365,652452.105
tour_1366,11671361.229499998
tour_1374,3528870.4685000004
tour_1378,1210960.275
tour_1389,1246833.1
tour_1392,970091.25
tour_1396,1774913.38
tour_1398,8030340.778299999
tour_140,508772.61
tour_1403,1404435.94
tour_1407,9492726.1813
tour_1416,1164462.41
tour_1421,4747440.2
tour_1424,14547995.819299998
tour_1428,12485111.427000001
tour_1433,476770.52
tour_1434,3017662.159
tour_1435,538559.985
tour_1437,492920.955
tour_1438,1742666.711
tour_1441,519891.71
tour_1442,1142091.975
tour_1449,1034309.475
tour_1450,13015821.372399997
tour_1451,483876.955
tour_1459,8921528.555799998
tour_1463,378849.46
tour_1468,1320857.47
tour_1470,433416.83
tour_1477,3164283.728
tour_1479,26969775.749
tour_1484,1974694.905
tour_1488,22062390.121400002
tour_1497,9160275.9488
tour_1499,4943402.525
tour_15,5325875.794000001
tour_1502,3745621.252
tour_1503,4677105.89
tour_1515,11539682.829499997
tour_1517,16525501.012
tour_1521,1821643.6326
tour_1522,482176.86
tour_1523,9316212.6013
tour_1527,3100636.9990000003
tour_153,1543658.08
tour_1532,10934489.897
tour_1535,1106346.35
tour_1539,12616345.5677
tour_154,6983353.259
tour_1540,2773652.9480000003
tour_1544,4007042.039
tour_1546,1194802.425
tour_1549,2637818.35
tour_1552,6161335.5324
tour_1553,4564965.05
tour_1554,1411279.395
tour_1557,1538995.76
tour_1566,10859809.9299
tour_1568,639141.48
tour_1569,11582587.817
tour_158,614374.595
tour_1583,23142076.306999996
tour_1584,11825638.476999998
tour_1588,4052325.155
tour_159,20147979.335
tour_1594,1284984.645
tour_1595,12420169.89
tour_160,5096412.133
tour_1603,11767749.584999997
tour_1608,905259.45
tour_161,4985563.595
tour_1611,5147982.02
tour_1615,4717897.681
tour_1622,2605899.156
tour_1624,15759361.037
tour_1625,5303853.32
tour_1627,4430202.7835
tour_1630,490623.02
tour_1632,13026588.664499998
tour_1637,13814252.691499999
tour_164,4442158.07
tour_1641,711398.455
tour_1643,30341649.204
tour_1649,2539567.259
tour_1650,21478915.319000002
tour_1651,8210989.892000001
tour_1654,963129.75
tour_1657,12446422.621399999
tour_1660,997550.21
tour_1668,2925536.655
tour_167,3684682.439
tour_1674,12660658.8314
tour_1676,11997705.41
tour_1680,4766397.757
tour_1682,12362769.021399999
tour_1689,525178.635
tour_1695,10288802.4332
tour_1696,1507727.575
tour_1699,10356465.976499999
tour_1704,523060.23
tour_171,1322165.725
tour_1711,547876.51
tour_1717,8580878.3883
tour_1718,2391854.8085
tour_1734,18470458.52
tour_1743,11857193.577
tour_1744,21241653.225
tour_1745,8241646.817000001
tour_175,16604262.437
tour_1754,13289056.7454
tour_1759,15070106.395
tour_1766,11773876.2827
tour_177,11461891.334999997
tour_1770,29092375.326000005
tour_1772,1312639.955
tour_1773,25763427.691000003
tour_1777,6237651.661
tour_178,1809201.465
tour_179,1074957.41
tour_1792,17731053.565
tour_1793,20623503.675
tour_1796,18638197.2055
tour_1804,5132818.7
tour_1809,9044529.8513
tour_1815,4933936.509
tour_1819,5971111.321
tour_1820,4564965.05
tour_1826,13100927.140999999
tour_1827,26945463.503000002
tour_183,4898030.16
tour_1830,16002654.5805
tour_1834,6364150.957
tour_1836,5473101.62
tour_1839,4603461.897000001
tour_1843,19472221.065
tour_1846,14042139.995
tour_1849,5155946.15
tour_1856,18613450.435
tour_1863,10934489.897
tour_1864,4292501.825
tour_1865,4687574.4934
tour_1868,10452291.8568
tour_1874,1443627.5890000002
tour_1879,14646183.635
tour_188,1159056.8
tour_1888,620292.355
tour_1889,21195076.5
tour_1892,14012441.707
tour_1894,6506063.047
tour_1901,3830823.385
tour_1903,19808826.375
tour_191,21731937.356999997
tour_1910,1210960.275
tour_1912,16572414.589000002
tour_1924,12648793.5114
tour_1928,21467165.905
tour_1932,15585990.015
tour_1939,8723700.388799999
tour_1948,9440813.9613
tour_1951,15040853.399500001
tour_1952,12485863.5935
tour_1954,7171618.317000001
tour_1955,22257081.6
tour_1957,6241518.255
tour_196,10934003.056799999
tour_1964,1785133.915
tour_1966,14246681.783699999
tour_1976,11060577.748499999
tour_198,1482690.575
tour_1983,8016399.392000001
tour_1984,14209710.588
tour_1987,21205010.5114
tour_1989,4365700.4
tour_199,5469899.163
tour_1990,614533.765
tour_1991,9550615.0733
tour_1992,1320701.11
tour_1994,12460738.859299999
tour_1995,16220337.1464
tour_1998,8527875.000299998
tour_200,9544115.5878
tour_2007,4503836.45
tour_201,744159.505
tour_2010,8260318.138299999
tour_2011,15194606.9422
tour_2012,978958.875
tour_2013,8481025.763799999
tour_2014,573395.635
tour_2017,22278589.974
tour_2023,11297687.829499997
tour_2025,20807460.671
tour_2030,3882240.113
tour_2035,8058615.917
tour_2044,11650956.887
tour_2051,729069.95
tour_2053,17858196.907
tour_2056,19293343.875
tour_2061,18749671.165
tour_2062,4564965.05
tour_2065,3202250.975
tour_2066,5470526.319000001
tour_2074,13809398.0352
tour_2075,9217436.876799999
tour_2086,9868448.9613
tour_209,4162549.3310000002
tour_2091,6607253.422
tour_2097,2273148.734
tour_21,13893951.3109
tour_2102,1090463.564
tour_2108,4441050.35
tour_2117,1949477.535
tour_2120,667602.48
tour_2126,5035919.3834
tour_2127,1100714.96
tour_2128,9421187.422
tour_2132,2997650.735
tour_2133,14809899.415
tour_2137,2623677.1185
tour_2141,8757079.3261
tour_2142,19413938.531400003
tour_2147,10731570.4067
tour_2148,6315192.436000001
tour_2150,474375.52
tour_2165,471133.705
tour_2167,27126543.867
tour_2171,1180370.72
tour_2173,18198147.5064
tour_2174,8260318.138299999
tour_2181,8699190.4341
tour_2189,514455.355
tour_2192,1962777.361
tour_2193,559767.48
tour_2197,976225.305
tour_2198,3623377.65
tour_220,20486198.025
tour_2208,15467822.456400001
tour_2214,8260318.138299999
tour_2215,7924031.286
tour_2219,1208616.05
tour_222,1009038.475
tour_2224,3057540.309
tour_2225,981641.7
tour_2226,25989974.476000004
tour_2227,4785716.1
tour_2232,5860876.8889999995
tour_2235,1000464.95
tour_2238,19417730.21
tour_224,2466565.225
tour_2244,788078.735
tour_2245,4576326.064
tour_2247,10917613.917000001
tour_2249,1707089.925
tour_2256,19729323.635
tour_2257,516033.86
tour_2259,4052325.155
tour_226,574591.26
tour_2262,12001885.407
tour_2264,2733839.275
tour_2269,9409804.561
tour_227,9110159.6747
tour_2272,20879118.975
tour_2273,1758202.63
tour_2275,1174169.54
tour_2279,13869985.447
tour_2287,2029218.185
tour_229,1210960.275
tour_2293,12295681.424999997
tour_2298,1142091.975
tour_2300,3388468.3860000004
tour_2303,25361798.54
tour_2304,976666.25
tour_2307,1853981.025
tour_2309,4809735.663
tour_2316,1194802.425
tour_2320,1274866.74
tour_2322,13197649.257499998
tour_2323,10753845.269000001
tour_2332,1284984.645
tour_2335,6080691.358399999
tour_234,3957379.892
tour_2340,5193947.3
tour_2341,9720116.5312
tour_2350,3703842.985
tour_2359,5446415.87
tour_236,6466042.310999999
tour_2363,6351418.297
tour_2365,13435228.6265
tour_2366,8350090.038299999
tour_2369,9485566.4613
tour_237,18527588.2514
tour_2379,15222504.830900002
tour_239,11148378.987
tour_2390,5147982.02
tour_2393,5857539.74
tour_2397,7235085.382
tour_2404,525612.985
tour_2406,573664.27
tour_2413,3272353.205
tour_2415,502094.985
tour_2418,502094.985
tour_2427,1994349.905
tour_2430,981557.89
tour_2431,14376021.3264
tour_2432,4806795.61
tour_2437,5024234.0084
tour_244,5599457.339
tour_2442,5516740.55
tour_2452,25713574.9134
tour_2456,28124110.009
tour_2460,13844220.3901
tour_2464,697128.695
tour_2467,8086388.5134000005
tour_2468,14663622.625
tour_247,18690578.915
tour_2472,7835653.386
tour_2473,2780889.0539999995
tour_2474,3200919.742
tour_2477,22747665.475
tour_248,21923025.104000002
tour_2481,22807339.896400005
tour_2491,744899.075
tour_2494,2584809.88
tour_2496,8527997.341
tour_2497,6052910.72
tour_2506,8757079.3261
tour_2508,12333224.229
tour_2509,555137.76
tour_2512,6494543.422
tour_2513,14624095.725
tour_2514,8242867.218299999
tour_2520,21702814.215
tour_2522,4687161.171
tour_2523,20060539.155
tour_2531,1939924.949
tour_2539,4850583.62
tour_2541,4592934.5940000005
tour_2546,9416892.9607
tour_2552,4333278.444
tour_2554,2859003.435
tour_2555,640313.865
tour_2556,510622.235
tour_2561,474822.735
tour_2568,519621.36
tour_2571,1912883.425
tour_2577,2248284.608
tour_2581,17699022.354000002
tour_2582,6994992.397000001
tour_2589,2126379.8375
tour_2591,958411.775
tour_2593,8714491.140299998
tour_2595,11857193.577
tour_2596,9432361.692
tour_2597,1194929.625
tour_2599,19855652.4384
tour_26,23587780.376
tour_2603,515298.485
tour_2604,13438733.477
tour_261,21768158.1
tour_2612,1320857.47
tour_2614,12981792.812399998
tour_2616,2935598.275
tour_2619,12401965.2584
tour_262,2790604.777
tour_2624,12644146.781399999
tour_2626,545772.355
tour_2628,1686655.575
tour_2640,3689916.335
tour_2641,948032.875
tour_2642,3606320.1890000002
tour_2645,4463634.169000001
tour_2649,21230352.539
tour_2653,3913214.684
tour_2657,506343.86
tour_266,615713.14
tour_2668,2899301.519
tour_267,2828007.055
tour_2676,1584744.675
tour_268,9577159.7398
tour_2681,1246833.1
tour_2683,28358597.804
tour_2686,1366529.655
tour_2688,6461125.7
tour_269,1210960.275
tour_2690,6563607.9475
tour_2691,4687963.669000001
tour_2692,4245195.294
tour_2700,11158277.7597
tour_2704,8753239.667000001
tour_2706,10039977.044
tour_2707,12427147.387
tour_2713,9732527.578799998
tour_272,13310660.82
tour_2720,3350484.3974
tour_2724,520043.61
tour_2732,2812360.775
tour_2738,4283641.831
tour_2740,9193043.2547
tour_2744,3507071.555
tour_2747,20690967.627
tour_2752,6460398.922
tour_2761,6630421.415
tour_2763,24752858.335
tour_2766,9765371.0252
tour_2779,29705099.311000004
tour_278,6759754.4
tour_2781,10312419.0032
tour_2784,580533.51
tour_2787,580656.885
tour_279,3175853.703
tour_2790,1665671.74
tour_2796,5656243.8614
tour_2797,11080191.8372
tour_2799,4467736.1
tour_280,1210960.275
tour_2803,4302914.3
tour_2805,567330.01
tour_2808,10514018.0677
tour_2812,21013450.615
tour_282,474615.615
tour_2821,749090.575
tour_2822,28959919.832
tour_2823,2807954.205
tour_2825,12659428.566999998
tour_2832,9182105.3813
tour_284,1034613.035
tour_2843,10677425.4308
tour_2848,1186956.065
tour_2852,507959.645
tour_2853,21393273.885
tour_2854,496040.2
tour_2857,704454.955
tour_2868,6614845.719
tour_2869,2998776.896
tour_2873,3093064.7989999996
tour_2874,8839605.9138
tour_2877,11975030.226999998
tour_2878,796930.61
tour_2879,8863639.6638
tour_288,6015359.063999999
tour_2893,5545097.286499999
tour_2897,5210569.568
tour_2898,912287.25
tour_29,2100722.905
tour_2901,3009348.975
tour_2907,1358384.5
tour_2914,19758258.23
tour_2923,1282061.85
tour_2925,16012953.9864
tour_2926,2955483.525
tour_2927,9774092.9478
tour_2928,15571018.0641
tour_2931,2036986.619
tour_2934,3580926.805
tour_2941,1106346.35
tour_2947,1180370.72
tour_2948,3260549.31
tour_2951,1955524.28
tour_2953,7970238.017000001
tour_2955,4477150.7
tour_2956,13035016.63
tour_2964,5685628.022000001
tour_2967,4209161.168
tour_2983,538559.985
tour_2986,10232216.291000001
tour_2989,532494.36
tour_2995,1136887.675
tour_3,1142091.975
tour_300,11917141.334999997
tour_3020,9798712.1985
tour_3021,2997433.034
tour_3025,19485553.844
tour_3029,512409.485
tour_3030,4975762.56
tour_3034,8318207.0303
tour_3045,10397149.4247
tour_3058,4160530.49
tour_3065,754749.79
tour_308,19120696.979000002
tour_3083,1245245.72
tour_3085,10645686.001500001
tour_3094,927407.2
tour_3096,1513917.375
tour_3097,13309798.183699999
tour_3098,10623372.3925
tour_3099,558762.135
tour_310,4526996.8440000005
tour_3101,1402346.61
tour_3106,22469425.362
tour_311,996475.39
tour_3110,12277452.887
tour_312,20481187.211000003
tour_3122,551500.885
tour_3123,474822.735
tour_3125,1191642.55
tour_3128,5071140.32
tour_313,3328015.225
tour_3133,15580719.7304
tour_3134,17064693.805999998
tour_3136,10385420.0535
tour_3139,5273991.875
tour_3141,615086.105
tour_3145,14981133.7421
tour_3147,4477150.7
tour_315,1106346.35
tour_3165,5300521.745
tour_3168,569179.635
tour_3179,8260318.138299999
tour_3191,15849152.3005
tour_3195,4425470.7884
tour_320,1265224.225
tour_3208,13786494.511500001
tour_3209,11738454.306599999
tour_3210,10959781.233800001
tour_3212,22807296.469
tour_3217,22322047.524
tour_3218,24715063.743
tour_323,1210960.275
tour_3233,488675.235
tour_3235,9611280.4426
tour_3237,2905392.545
tour_3244,501445.985
tour_3247,15666419.430499999
tour_3249,12930681.401999999
tour_3252,9617794.4968
tour_3254,4591650.8
tour_3257,6817862.427
tour_3259,569179.635
tour_3261,1211799.16
tour_3267,8260318.138299999
tour_3269,474615.615
