ID,total_cost
tour_1,11741761.6
tour_100,9624235.5
tour_1001,10540795.76
tour_1006,3371355.0
tour_1009,22473165.0
tour_1010,1908590.0
tour_1014,4912089.7
tour_1015,912240.0
tour_1019,2183259.0
tour_1020,4345459.75
tour_1023,11469841.5
tour_1025,33166575.0
tour_1031,29885602.5
tour_1037,2507050.65
tour_1044,2967798.0
tour_1053,7724541.2
tour_1056,3009025.5
tour_106,15813320.15
tour_1064,8285745.0
tour_1069,14453400.0
tour_1077,2248615.3
tour_1084,5275497.585
tour_1087,8977555.73
tour_1089,806177.7792
tour_1091,1302141.1
tour_1093,8035937.45
tour_1094,2027280.35
tour_110,1737575.0
tour_1100,15062531.25
tour_1101,15282150.0
tour_1105,3573531.0
tour_1106,20825681.0
tour_111,513125.0
tour_1112,19963196.0
tour_1113,7070565.5
tour_1114,2429724.0
tour_1117,658209.8
tour_1119,3275181.0
tour_1127,5491121.55
tour_1140,5387197.1
tour_1141,9605750.0
tour_1143,8430301.36
tour_1145,640775.0
tour_1148,1876880.0
tour_1153,3041546.0
tour_1156,2628793.5
tour_1157,3932794.1
tour_1160,675846.25
tour_1169,10836658.5
tour_1170,2510623.75
tour_1177,5978984.5
tour_1180,4570644.7
tour_1185,5808718.0
tour_1187,7961225.0
tour_1189,28031779.4
tour_119,10714552.0
tour_1199,1277480.0
tour_120,1052800.0
tour_1204,3433977.79
tour_1206,8278870.0
tour_1218,5014345.859
tour_1223,1089338.5
tour_1225,2642481.37
tour_1227,3090446.2600000002
tour_1228,769650.0
tour_1229,3366382.5
tour_1232,10185337.5
tour_1236,27316317.2
tour_1237,3010683.0
tour_124,3913083.1
tour_1240,974572.1
tour_1243,493812.0
tour_125,5254581.460000001
tour_1250,14513890.25
tour_1251,12599002.870000001
tour_1255,10165720.35
tour_1257,14770967.5
tour_1258,18369323.82
tour_1264,325994.17000000004
tour_1266,2656647.0
tour_1268,9840020.5
tour_1269,4430421.0
tour_127,1721313.75
tour_1270,1589885.0
tour_1272,442347.5
tour_1277,4218715.25
tour_1280,5045919.6
tour_1283,17453586.35
tour_1284,8603269.22
tour_1285,15985004.8
tour_1288,2505483.85
tour_1292,2223496.8
tour_1293,1721709.0
