ID,total_cost
tour_1,9945000.0
tour_100,4143750.0
tour_1001,29500000.0
tour_1006,907732.0
tour_1009,4641000.0
tour_1010,497250.0
tour_1014,8022081.55
tour_1015,2767440.0
tour_1019,828750.0
tour_1020,4972500.0
tour_1023,2486250.0
tour_1025,19061250.0
tour_1031,49725000.0
tour_1037,3315000.0
tour_1044,3348150.0
tour_1053,2000000.0
tour_1056,3315000.0
tour_106,99532875.0
tour_1064,2000000.0
tour_1069,17735250.0
tour_1077,2817750.0
tour_1084,4309500.0
tour_1087,828750.0
tour_1089,1657500.0
tour_1091,1657500.0
tour_1093,9077320.0
tour_1094,142252.5
tour_110,1657500.0
tour_1100,663000.0
tour_1101,6630000.0
tour_1105,663000.0
tour_1106,9190786.5
tour_111,50000.0
tour_1112,17072250.0
tour_1113,2836662.5
tour_1114,82875.0
tour_1117,1248131.5
tour_1119,4972500.0
tour_1127,1657500.0
tour_1140,85351.5
tour_1141,8287500.0
tour_1143,248625.0
tour_1145,1000000.0
tour_1148,3315000.0
tour_1153,1910000.0
tour_1156,853515.0
tour_1157,3472074.9
tour_1160,828750.0
tour_1169,1491750.0
tour_1170,165750.0
tour_1177,1657500.0
tour_1180,3149250.0
tour_1185,203000.0
tour_1187,828750.0
tour_1189,22790625.0
tour_119,9945000.0
tour_1199,3315000.0
tour_120,130000.0
tour_1204,6464250.0
tour_1206,9945000.0
tour_1218,8619000.0
tour_1223,6807990.0
tour_1225,4143750.0
tour_1227,2269330.0
tour_1228,165750.0
tour_1229,6807990.0
tour_1232,16939650.0
tour_1236,14342165.6
tour_1237,545317.5
tour_124,6807990.0
tour_1240,3315000.0
tour_1243,348075.0
tour_125,2900625.0
tour_1250,38805543.0
tour_1251,7942655.0
tour_1255,4972500.0
tour_1257,9398025.0
tour_1258,32065632.9
tour_1264,497250.0
tour_1266,3315000.0
tour_1268,8535150.0
tour_1269,4972500.0
tour_127,1160250.0
tour_1270,853515.0
tour_1272,994500.0
tour_1277,1000000.0
tour_1280,4972500.0
tour_1283,99532875.0
tour_1284,5801250.0
tour_1285,8287500.0
tour_1288,1270000.0
tour_1292,3315000.0
tour_1293,6630000.0
tour_1297,3315000.0
tour_1299,4972500.0
tour_130,453866.0
tour_1300,828750.0
tour_1301,364000.0
tour_1307,5020000.0
tour_131,1657500.0
tour_1317,12265500.0
tour_1318,4972500.0
tour_1320,2845050.0
tour_1322,1657500.0
tour_1323,6795750.0
tour_1341,828750.0
tour_1346,4143750.0
