ID,total_cost
tour_1,17634701.891176187
tour_100,18107441.083880566
tour_1001,7332713.8064185865
tour_1006,2905970.897390062
tour_1009,22345589.93117765
tour_1010,3096671.7469671727
tour_1014,6330364.329824802
tour_1015,1893584.9705996132
tour_1019,821428.0147480486
tour_1020,5340450.057059457
tour_1023,12311611.537196845
tour_1025,15274057.5410331
tour_1031,26011927.029655635
tour_1037,4003631.7325666836
tour_1044,5010744.559471764
tour_1053,6036611.089118874
tour_1056,5055063.42108074
tour_106,18957609.855809785
tour_1064,5721917.060290491
tour_1069,12298149.026649427
tour_1077,946415.9913869901
tour_1084,3642605.833263079
tour_1087,8243808.826139941
tour_1089,600921.705309124
tour_1091,1395968.799928565
tour_1093,5514661.1698292475
tour_1094,1919987.8389515341
tour_110,693695.2410066931
tour_1100,2924414.6932960385
tour_1101,23281243.796881855
tour_1105,5136636.755597062
tour_1106,7667794.980444752
tour_111,1402885.0230772928
tour_1112,15312577.373216638
tour_1113,11972623.435114335
tour_1114,1034427.9157876521
tour_1117,1832492.643169439
tour_1119,4720992.273013825
tour_1127,5545716.458319891
tour_1140,2350201.497875643
tour_1141,2829194.9355395753
tour_1143,5086106.78224265
tour_1145,1197275.2614441034
tour_1148,2261060.952658758
tour_1153,1737835.007870807
tour_1156,1997139.4838592568
tour_1157,2323595.916071347
tour_1160,1026127.8875675963
tour_1169,12463424.93940895
tour_1170,2164069.029245029
tour_1177,1192444.6763933562
tour_1180,4799682.304777154
tour_1185,5047765.718331707
tour_1187,1620202.9454784952
tour_1189,22343208.976278678
tour_119,13692608.439724252
tour_1199,1212733.4447706942
tour_120,610685.7428687166
tour_1204,9709923.862146255
tour_1206,2825681.5410753526
tour_1218,1145854.0213646481
tour_1223,3068766.7885077624
tour_1225,5024028.903807947
tour_1227,4820949.714162618
tour_1228,506655.7779678056
tour_1229,3093812.3321991824
tour_1232,9617855.884181682
tour_1236,17953442.395464808
tour_1237,4236594.761304584
tour_124,5515157.109484019
tour_1240,1873932.1763489111
tour_1243,688501.82259342
tour_125,3857148.8458369356
tour_1250,21108286.948906574
tour_1251,8027180.1866134275
tour_1255,5441839.783835529
tour_1257,6144048.770021025
tour_1258,17890443.103971187
tour_1264,668115.0172942498
tour_1266,1810413.677805564
tour_1268,11678692.64521347
tour_1269,809364.1632007889
tour_127,2227529.54773675
tour_1270,1221092.8589404975
tour_1272,607844.0651084437
tour_1277,4079766.229507533
tour_1280,6931747.223574333
tour_1283,20309047.552625604
tour_1284,11457232.47045773
tour_1285,5094164.529919809
tour_1288,1876386.6092137373
tour_1292,4124382.163399832
tour_1293,5168138.958904114
tour_1297,5951214.985657001
tour_1299,6277531.93923118
tour_130,1540830.406345886
tour_1300,2268090.6780524757
tour_1301,4084494.0737272045
tour_1307,2746114.949094349
tour_131,642907.8113357644
tour_1317,8812835.137197848
tour_1318,4578173.8164989855
tour_1320,3652123.68726461
tour_1322,1814266.740540485
tour_1323,2320189.482318744
tour_1341,528739.3168473282
tour_1346,2741268.7090320736
tour_1348,2680740.9372601015
tour_1352,16629026.124686928
tour_1354,12052715.602268241
tour_1355,7700222.206374137
tour_1365,1257980.7198376977
tour_1366,13310189.948982157
tour_1374,5181397.508546086
tour_1378,1786599.1341463744
tour_1389,2037124.0565249356
tour_1392,976708.0227472603
tour_1396,2077788.9233016607
tour_1398,9412119.473168632
tour_140,633202.8634077292
tour_1403,1672754.6050401744
tour_1407,11569951.691951651
tour_1416,1126007.4803541407
tour_1421,5040545.73640017
tour_1424,18119309.598874792
tour_1428,13281907.338032205
tour_1433,634471.8913557905
tour_1434,5155801.334178398
tour_1435,706913.623778865
tour_1437,662359.5717091109
tour_1438,1328578.2271451382
tour_1441,534759.5651501928
tour_1442,1732027.300797036
tour_1449,1587730.2443550597
tour_1450,15712595.08163714
tour_1451,558826.2204272998
tour_1459,9646383.27579398
tour_1463,556499.8462720404
tour_1468,2084374.1596337678
tour_1470,474389.89714540256
tour_1477,3567869.6852978733
tour_1479,25930160.27210401
tour_1484,2760294.949381451
tour_1488,23770209.035746433
tour_1497,9254815.668098334
tour_1499,5364890.843798308
tour_15,5355052.949202838
tour_1502,4748831.420019398
tour_1503,5939598.629667642
tour_1515,13771856.158532402
tour_1517,18936410.684381187
tour_1521,3358965.6693003615
tour_1522,680428.4669512562
tour_1523,11262118.501115099
tour_1527,3373898.071928543
tour_153,1585105.050480282
tour_1532,13366542.084632605
tour_1535,1531347.4068430797
tour_1539,13090822.989867289
tour_154,7054240.04498562
tour_1540,2837687.6811505323
tour_1544,4796830.739882222
tour_1546,1549928.0952012367
tour_1549,3609266.4147734535
tour_1552,9638724.54671362
tour_1553,6147732.488207817
tour_1554,1857804.8032327625
tour_1557,2373755.44363218
tour_1566,7609844.399797137
tour_1568,1014328.8804147001
tour_1569,11770031.548628198
tour_158,1038353.5237705027
tour_1583,19085577.55572334
tour_1584,13619156.492514856
tour_1588,5190241.571173724
tour_159,23454543.00889793
tour_1594,1632418.1457508665
tour_1595,10037947.259092225
tour_160,6425946.471490882
tour_1603,13435020.472114984
tour_1608,1580128.3755384265
tour_161,5921536.39695066
tour_1611,6219468.708595661
tour_1615,5036375.644285995
tour_1622,2535670.1217267965
tour_1624,11332227.098741394
tour_1625,7451326.129682298
tour_1627,6975855.932189411
tour_1630,623321.8429793688
tour_1632,10871475.958567288
tour_1637,14994583.311245171
tour_164,4312663.991217795
tour_1641,1415573.2329040621
tour_1643,27432168.6414157
tour_1649,3021498.758890088
tour_1650,20955153.20129459
tour_1651,11785016.262834363
tour_1654,984279.9795952451
tour_1657,15852441.736218609
tour_1660,1266018.4375400469
tour_1668,3444996.324044905
tour_167,5151007.69877762
tour_1674,14215047.557599964
tour_1676,14841507.116719648
tour_1680,6372327.483512675
tour_1682,13804263.50677266
tour_1689,703532.2902070158
tour_1695,11639847.330448896
tour_1696,1601574.5035332306
tour_1699,11778409.805997144
tour_1704,507058.1292130375
tour_171,1616776.892430457
tour_1711,582651.9221048448
tour_1717,10794259.201216882
tour_1718,2799940.28076554
tour_1734,19129204.302429676
tour_1743,11950288.075264772
tour_1744,19280049.872300446
tour_1745,9679242.188737055
tour_175,17898481.524474084
tour_1754,12375419.935493438
tour_1759,16196367.03603782
tour_1766,13219718.291210413
tour_177,12600373.730615772
tour_1770,26161158.964219466
tour_1772,2487094.6152443336
tour_1773,22746762.06344507
tour_1777,7699459.3478433555
tour_178,1446806.7968779765
tour_179,1179691.2001339542
tour_1792,16721754.716419814
tour_1793,22252890.221911713
tour_1796,19926387.052558504
tour_1804,6371203.103378481
tour_1809,10891021.311502555
tour_1815,5532072.445889983
tour_1819,4907492.424129972
tour_1820,5881102.569299524
tour_1826,14161882.694325315
tour_1827,24264619.725765456
tour_183,6335328.584967811
tour_1830,16976115.826766554
tour_1834,9138541.332734797
tour_1836,6830763.1596136745
tour_1839,7004153.51285753
tour_1843,21741041.41617033
tour_1846,15184681.010806333
tour_1849,7170546.771990869
tour_1856,19843882.103602447
tour_1863,13320047.23180867
tour_1864,4825219.159870904
tour_1865,5129556.354182109
tour_1868,14313447.504739946
tour_1874,2151084.5232465575
tour_1879,16094575.517628303
tour_188,1840145.28398681
tour_1888,1292865.3473588973
tour_1889,20440584.30850795
tour_1892,13622683.847305406
tour_1894,8319815.3762110155
tour_1901,5561358.96321879
tour_1903,19859594.661649503
tour_191,25325884.35367956
tour_1910,1554843.0925125303
tour_1912,16823421.487341262
tour_1924,14242537.769840162
tour_1928,24087447.921928674
tour_1932,14953626.11802938
tour_1939,10327924.090771308
tour_1948,11625327.257788964
tour_1951,17037577.855660245
tour_1952,12488496.899949107
tour_1954,8938941.813386664
tour_1955,20356843.725200698
tour_1957,4238658.521734097
tour_196,13163466.798481021
tour_1964,1764156.4891000523
tour_1966,11945971.540490663
tour_1976,15759766.986540675
tour_198,1573469.2571167795
tour_1983,8522932.251389917
tour_1984,16600916.249289837
tour_1987,19067669.24730096
tour_1989,4453166.233939493
tour_199,6773329.034979524
tour_1990,1183851.623996274
tour_1991,12616946.027295887
tour_1992,1505972.709145879
tour_1994,13055718.526990954
tour_1995,20516323.930356033
tour_1998,9905657.092953872
tour_200,10917031.891037581
tour_2007,4958426.91395721
tour_201,1153373.7120340671
tour_2010,9722671.500395335
tour_2011,15931692.22383862
tour_2012,1291825.110644032
tour_2013,8857608.798133325
tour_2014,752947.7838078325
tour_2017,22915748.812542357
tour_2023,12301475.059483249
tour_2025,19735860.443229314
tour_2030,6257281.801814614
tour_2035,8389179.935868908
tour_2044,12410970.4375568
tour_2051,881695.4271542493
tour_2053,18020598.755166493
tour_2056,18514996.53623937
tour_2061,16682789.330860937
tour_2062,5771616.718057298
tour_2065,2089072.664598781
tour_2066,4678599.881155847
tour_2074,11935949.607866878
tour_2075,10958017.409742234
tour_2086,11912559.346329082
